repo_name,discussion,author,timestamp,reactions,is_part_of_selected_answer,content
facebook/create-react-app,https://github.com/facebook/create-react-app/discussions/9292,abhijithurs,2020-07-11T20:05:00Z,,False,<p>when ever i type npm start after creating the react app confusion folder i am getting an error saying missing:script.</p>
facebook/create-react-app,https://github.com/facebook/create-react-app/discussions/9292,YajanaRao,2020-07-11T20:30:41Z,,False,"<p>Please give more information about the issue. Project structure or package.json content, etc. You can refer to a template as well.</p>"
facebook/create-react-app,https://github.com/facebook/create-react-app/discussions/9292,HemanthDavuluri,2020-07-17T08:10:29Z,,False,<p>log file details would be helpful!</p>
facebook/create-react-app,https://github.com/facebook/create-react-app/discussions/9292,HemanthDavuluri,2020-07-17T08:14:31Z,,False,"<p>Okay i tried to recreate the error and i found the reason. make sure you have <code>""scripts"": { ""start"": ""react-scripts start"", ""build"": ""react-scripts build"", ""test"": ""react-scripts test"", ""eject"": ""react-scripts eject"" },</code><br>
in your package.json file.<br>
if this script code is missing you will get the error.<br>
check the screenshot!<br>
<a target=""_blank"" rel=""noopener noreferrer"" href=""https://user-images.githubusercontent.com/35726027/87764135-847ea100-c833-11ea-934f-e0fb37550f84.png""><img src=""https://user-images.githubusercontent.com/35726027/87764135-847ea100-c833-11ea-934f-e0fb37550f84.png"" alt=""image"" style=""max-width:100%;""></a><br>
After removing the selected code i got the missing script error.</p>"
facebook/create-react-app,https://github.com/facebook/create-react-app/discussions/9313,adityataps,2020-07-16T05:08:14Z,,False,"<p>Hi,</p>
<p>I've been having some issue with starting the development server.</p>
<p>I have two computers; when I clone my repo and run <code>npm install</code> and <code>npm start</code> on one computer, there is no issue. However, when I clone the same repo into my other computer and run the same commands, <code>npm install</code> works fine but <code>npm start</code> doesn't start the development server as expected. localhost:3000 also shows a 'page not found'... but no errors are thrown at the time of running <code>npm start</code>. Any advice? This issue is only happening on this single computer with any react webapp, and I have already reinstalled node_modules multiple times and even reinstalled Node twice with no success.</p>
<p>Below is the command run with the <code>--verbose</code> tag.</p>
<p><a target=""_blank"" rel=""noopener noreferrer"" href=""https://user-images.githubusercontent.com/39311849/87629181-84ca4f80-c700-11ea-80e4-a44294572732.png""><img src=""https://user-images.githubusercontent.com/39311849/87629181-84ca4f80-c700-11ea-80e4-a44294572732.png"" alt=""image"" style=""max-width:100%;""></a></p>"
facebook/create-react-app,https://github.com/facebook/create-react-app/discussions/9203,sylvainDNS,2020-06-23T14:53:48Z,"[['👍'], [1]]",False,"<p>Hi guys!</p>
<p>I'm trying to make an electron app, with a CRA ""inside"".</p>
<p>I need to interract with host system, so we want to use Rust with <a href=""https://neon-bindings.com/"" rel=""nofollow"">Neon Bindings</a>.</p>
<p>They made a tutorial to use it in Electron, but not with Webpack : <a rel=""nofollow"" href=""https://neon-bindings.com/docs/electron-apps"">https://neon-bindings.com/docs/electron-apps</a></p>
<p>We tried many things (including overiding conf with <a href=""https://github.com/gsoft-inc/craco"">craco</a> with Webpack plugins &amp; <code>externals</code> field), but none of them work <g-emoji class=""g-emoji"" alias=""disappointed"" fallback-src=""https://github.githubassets.com/images/icons/emoji/unicode/1f61e.png"">😞</g-emoji></p>
<p>Does someone already done it ?</p>
<p>I made a repo with a simple webpack config if someone want to test : <a href=""https://github.com/sylvainDNS/webpack-native-module"">https://github.com/sylvainDNS/webpack-native-module</a></p>"
facebook/create-react-app,https://github.com/facebook/create-react-app/discussions/9203,xiaoxiangmoe,2020-06-28T14:19:41Z,,True,"<p>using <code>(window as any).require('./foo.node')</code>;</p>
<p>Also, see example here: <a href=""https://github.com/xiaoxiangmoe/cra-electron"">https://github.com/xiaoxiangmoe/cra-electron</a></p>
<p>Thank you for your reply, your repo is exactly what I want to do. <g-emoji class=""g-emoji"" alias=""heart_eyes"" fallback-src=""https://github.githubassets.com/images/icons/emoji/unicode/1f60d.png"">😍</g-emoji><br>
I just came to test it, and I really like your 'monorepo' architecture. I will try it in my own project.</p>"
facebook/create-react-app,https://github.com/facebook/create-react-app/discussions/9203,xiaoxiangmoe,2020-06-28T16:26:52Z,"[['👍', '❤️'], [1, 2]]",True,"<p>Also, see example here: <a href=""https://github.com/xiaoxiangmoe/cra-electron"">https://github.com/xiaoxiangmoe/cra-electron</a></p>"
facebook/create-react-app,https://github.com/facebook/create-react-app/discussions/9203,sylvainDNS,2020-07-15T15:54:39Z,,True,"<p>Thank you for your reply, your repo is exactly what I want to do. <g-emoji class=""g-emoji"" alias=""heart_eyes"" fallback-src=""https://github.githubassets.com/images/icons/emoji/unicode/1f60d.png"">😍</g-emoji><br>
I just came to test it, and I really like your 'monorepo' architecture. I will try it in my own project.</p>"
facebook/create-react-app,https://github.com/facebook/create-react-app/discussions/9306,DiegoMcDipster,2020-07-14T21:17:36Z,,False,"<p>Hi,</p>
<p>To see what's performing and more importantly what's not performing well, i would like to output the processes and timings (duration for each process) when i execute: npm start.</p>
<p>But I don't know how to do that.  So, could someone please advise me on how to create log files and where to find them?</p>
<p>Note, I'm having an issue with the performance of npm start. (I've already raised the issue <a class=""issue-link js-issue-link"" data-error-text=""Failed to load title"" data-id=""656055911"" data-permission-text=""Title is private"" data-url=""https://github.com/facebook/create-react-app/issues/9299"" data-hovercard-type=""issue"" data-hovercard-url=""/facebook/create-react-app/issues/9299/hovercard"" href=""https://github.com/facebook/create-react-app/issues/9299"">#9299</a>).  And being able to create the log will help me get to the root of the problem.</p>
<p>Thanks!</p>"
